index,type,title,release_year,is_topTitle
582,MOVIE,Tony Manero,2008,False
583,MOVIE,Do Dooni Chaar,2010,False
584,MOVIE,Kismat Konnection,2008,False
585,MOVIE,Wake Up Sid,2009,True
586,MOVIE,Life in a Metro,2007,True
587,SHOW,El cartel 2 - La guerra total,2010,False
588,MOVIE,Awara Paagal Deewana,2002,False
589,MOVIE,The Figurine (Araromire),2009,False
590,MOVIE,The Unjust,2010,False
591,MOVIE,Kurbaan,2009,False
592,MOVIE,Can’t Complain,2007,False
593,MOVIE,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,False
594,MOVIE,Spookley the Square Pumpkin,2004,False
595,MOVIE,Taxi No. 9 2 11,2006,False
596,MOVIE,Anbe Sivam,2003,True
597,MOVIE,Gangaajal,2003,True
598,MOVIE,Chalte Chalte,2003,False
599,MOVIE,Mumbai Meri Jaan,2008,False
600,MOVIE,Aamir,2008,True
601,MOVIE,Frontiers of Dreams and Fears,2001,False
602,MOVIE,Ishq Vishk,2003,False
603,SHOW,The Truth,2008,False
604,MOVIE,The Legend of Bhagat Singh,2002,True
605,MOVIE,Under the Bombs,2007,False
606,MOVIE,Race,2008,False
607,MOVIE,Udaan,2010,True
608,MOVIE,Laugh Out Loud,2003,False
609,MOVIE,We Are Family,2010,False
610,MOVIE,The Beast Stalker,2008,False
611,MOVIE,Raajneeti,2010,True
612,SHOW,Edge of the Universe,2002,False
613,MOVIE,Old Thieves: The Legend of Artegio,2007,False
614,MOVIE,Kannathil Muthamittal,2002,False
615,MOVIE,Well Done Abba,2010,False
